Certificate of Inspection,Inspection Number,Date of Occurance,Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0156265,INS-000720758,02/28/2024,BA-1687255-2024,C AND D FAMILY INC.,D & C Market,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,Complete Address,1218,NOSTRAND AVE,,,,BROOKLYN,NY,11225,Brooklyn,309,40,3115789,3050470143,,40.65748826,-73.95030232
A0156309,INS-000720831,02/28/2024,BA-1638683-2023,BEDFORD 101 FOOD CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,101,BEDFORD AVE,,,,BROOKLYN,NY,11211,Brooklyn,301,33,3251727,3022910001,BK73,40.7202988,-73.95506796
A0156322,INS-000720854,02/28/2024,BA-1102249-2022,AL FATTAH FOOD BAZAR INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Platform Scale - 01,1,1,0,Complete Address,18010,HILLSIDE AVE,,,,JAMAICA,NY,11432,Queens,412,23,4441717,4099160030,QN61,40.71301471,-73.78227904
A0156324,INS-000720858,02/28/2024,BA-1571969-2023,KING SWEET DELI GROCERY INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,6309,AVENUE N,,,,BROOKLYN,NY,11234,Brooklyn,318,46,3235909,3083630008,BK45,40.6195935,-73.91668324
A0156203,INS-000720653,02/28/2024,BA-1338815-2022,"GIMMY DELI & SMOKE SHOP, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,299,WINTHROP STREET,,,,BROOKLYN,NY,11225,Brooklyn,309,40,3107389,3048190001,BK60,40.65713123,-73.94981603
A0156217,INS-000720678,02/28/2024,BA-1559330-2022,THE HEIGHTS MARKET CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,Complete Address,1520,SAINT NICHOLAS AVE,,,,NEW YORK,NY,10033,Manhattan,112,10,1063788,1021570067,MN35,40.85247897,-73.93141069
A0156217,INS-000720678,02/28/2024,BA-1559330-2022,THE HEIGHTS MARKET CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,Complete Address,1520,SAINT NICHOLAS AVE,,,,NEW YORK,NY,10033,Manhattan,112,10,1063788,1021570067,MN35,40.85247897,-73.93141069
A0156143,INS-000720564,02/28/2024,BA-1535585-2022,SAS DELI AND GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,3302,CHURCH AVE,,,,BROOKLYN,NY,11203,Brooklyn,317,40,3109366,3048870001,BK91,40.65094849,-73.94651599
A0156436,INS-000721107,02/29/2024,BA-1498557-2022,ROSE MARIE INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,Complete Address,19,KNOLLS CRES,,,,BRONX,NY,10463,Bronx,208,11,2083249,2057230075,BX29,40.87867633,-73.91763508
A0156527,INS-000721389,03/01/2024,BA-1335437-2022,"LA REINA MORENA DELI & GROCERY, CORP",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,1001,39TH ST,,,,BROOKLYN,NY,11219,Brooklyn,312,38,3122886,3052880001,BK34,40.64443085,-73.9925769
A0156586,INS-000732142,03/01/2024,BA-1205152-2022,FAD 2300 FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,17,17,0,Complete Address,2300,RANDALL AVE,,,,BRONX,NY,10473,Bronx,209,18,2021680,2035400101,BX09,40.81947995,-73.84450676
A0156601,INS-000721502,03/01/2024,BA-994096-2022,3462 THIRD AVENUE LAUNDROMAT INC.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,3462,3 AVENUE,,,,BRONX,NY,10456,Bronx,203,16,2115273,2026097501,BX01,40.82986143,-73.90637444
A0156611,INS-000721516,03/01/2024,BA-1683502-2024,NY Deli & Grill Corp.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,341,HEBERTON AVE,,,,STATEN ISLAND,NY,10302,Staten Island,501,49,5024226,5010330024,SI28,40.63264357,-74.13414715
A0156620,INS-000721524,03/01/2024,BA-1680441-2023,ROOTS DELI & GROCERY INC.,YESENIA VELIZ,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,Complete Address,3924,FORT HAMILTON PKWY,,,,BROOKLYN,NY,11218,Brooklyn,312,38,3135244,3055840043,BK34,40.64301715,-73.99073573
A0156627,INS-000721544,03/01/2024,BA-1687460-2024,BLUE ISLAND SEAFOOD CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,2819,STEINWAY ST,,,,ASTORIA,NY,11103,Queens,401,22,4010783,4006630013,QN70,40.76522068,-73.91389827
A0156669,INS-000721680,03/04/2024,BA-1516268-2022,"SILVER LAUNDROMAT, INC.",,Retail Laundry,Scale,Scale,Laundry Scales,Computing Scale - 02,1,1,0,Complete Address,1520,SILVER ST,,,,BRONX,NY,10461,Bronx,210,18,2044122,2040770018,BX37,40.84342081,-73.84764217
A0156672,INS-000721684,03/04/2024,BA-1226004-2022,EL TRIANGULO DELI GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,2160,TIEBOUT AVENUE,,,3,BRONX,NY,10457,Bronx,205,15,2013317,2031430130,BX40,40.8540906,-73.89855403
A0156705,INS-000721752,03/04/2024,BA-1088978-2022,A & C SEAFOOD & MEAT MARKET INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,Complete Address,1237,AVENUE U,,,,BROOKLYN,NY,11229,Brooklyn,315,48,3197984,3073170044,BK25,40.59855829,-73.95895611
A0156705,INS-000721752,03/04/2024,BA-1088978-2022,A & C SEAFOOD & MEAT MARKET INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,Complete Address,1237,AVENUE U,,,,BROOKLYN,NY,11229,Brooklyn,315,48,3197984,3073170044,BK25,40.59855829,-73.95895611
A0156705,INS-000721752,03/04/2024,BA-1088978-2022,A & C SEAFOOD & MEAT MARKET INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,6,6,0,Complete Address,1237,AVENUE U,,,,BROOKLYN,NY,11229,Brooklyn,315,48,3197984,3073170044,BK25,40.59855829,-73.95895611
A0156719,INS-000721779,03/04/2024,BA-1406277-2022,"NEW ET LAUNDROMAT, INC.",,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,3270,31ST ST,,,,ASTORIA,NY,11106,Queens,401,22,4007460,4005870065,QN70,40.76152627,-73.92575397
A0156728,INS-000721802,03/04/2024,BA-1114916-2022,1426 ST. JOHNS CORP.,ST JOHNS FRUIT & VEGETABLE,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,1426,SAINT JOHNS PL,,,,BROOKLYN,NY,11213,Brooklyn,308,35,3037072,3013840042,BK61,40.67060137,-73.93146435
